,trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,maturity,strike,combo_trade_id,combo_id,block_trade_id,liquidation,date,time_to_maturity,days_to_maturity,minutes_to_maturity,time_to_maturity_year
102,6095,302646300,2024-05-22 21:46:38.512,0,0.0725,0.07289794,55.55,BTC-28JUN24-70000-C,69392.76,sell,0.3,0.3,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 02:13:21.488000,36,51973.35,0.09888384703196347
335,6094,302639282,2024-05-22 21:09:23.829,2,0.07,0.07138937,54.51,BTC-28JUN24-70000-C,68936.87,sell,0.1,0.1,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 02:50:36.171000,36,52010.6,0.09895471841704719
550,6093,302632742,2024-05-22 20:20:32.436,1,0.0755,0.07503937,55.87,BTC-28JUN24-70000-C,69821.57,buy,0.1,0.1,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 03:39:27.564000,36,52059.45,0.0990476598173516
685,6092,302629111,2024-05-22 19:55:25.189,0,0.0755,0.07503434,56.08,BTC-28JUN24-70000-C,69768.26,buy,0.1,0.1,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 04:04:34.811000,36,52084.566666666666,0.09909544647387113
1075,6091,302618265,2024-05-22 18:21:20.421,2,0.073,0.07323242,55.62,BTC-28JUN24-70000-C,69462.71,sell,1.0,1.0,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 05:38:39.579000,36,52178.65,0.09927444824961948
1146,6090,302614484,2024-05-22 17:59:15.540,3,0.076,0.07539504,56.15,BTC-28JUN24-70000-C,69822.85,buy,0.7,0.7,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 06:00:44.460000,36,52200.73333333333,0.09931646372399797
1150,6089,302614231,2024-05-22 17:56:55.046,3,0.076,0.0754596,56.12,BTC-28JUN24-70000-C,69825.51,buy,5.2,5.2,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 06:03:04.954000,36,52203.066666666666,0.09932090309487569
1176,6088,302612190,2024-05-22 17:41:18.001,2,0.076,0.07584477,55.88,BTC-28JUN24-70000-C,69845.13,buy,1.0,1.0,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 06:18:41.999000,36,52218.683333333334,0.09935061516996449
1406,6087,302604501,2024-05-22 16:15:43.630,0,0.0819,0.08154267,56.14,BTC-28JUN24-70000-C,70595.19,buy,13.0,13.0,2024-06-28 00:00:00,7000.0,,BTC-CS-28JUN24-65000_70000,141952.0,,2024-05-22,36 days 07:44:16.370000,36,52304.26666666667,0.09951344495180112
1563,6086,302601392,2024-05-22 15:54:39.880,0,0.081,0.08031,56.55,BTC-28JUN24-70000-C,70453.25,buy,0.1,0.1,2024-06-28 00:00:00,7000.0,,,,,2024-05-22,36 days 08:05:20.120000,36,52325.333333333336,0.0995535261288686
