,funding_8h,current_funding,best_bid_amount,best_ask_amount,estimated_delivery_price,best_bid_price,best_ask_price,interest_value,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,stats.volume_notional,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,t,strike,m
BTC-PERPETUAL,-3.92e-06,0.0,162130.0,4280.0,64071.72,64071.5,64072.0,-0.002071349330052408,835292520.0,65998.5,62153.5,64078.0,62936.2,BTC-PERPETUAL,64075.97,64071.72,open,1714275632323,207825270.0,207825270.0,3284.40770073,1.6675,62652.5,64339.0,,,,,,,,,,,,,,
BTC-28APR24-56000-P,,,0.0,0.9,64075.02,0.0,0.0002,,27.0,0.015,0.0001,0.0002,0.00013757,BTC-28APR24-56000-P,0.0,64075.02,open,1714275635347,,1.29,0.1,0.0,0.0002,0.0002,0.0,263.79,SYN.BTC-28APR24,64076.019,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.1347494005516144
BTC-28APR24-57000-P,,,0.0,0.1,64073.83,0.0,0.0002,,9.3,0.015,0.0001,0.0001,0.00013826,BTC-28APR24-57000-P,0.0,64073.83,open,1714275636352,,5.04,0.8,0.0,0.0001,0.0001,0.0,233.14,SYN.BTC-28APR24,64076.7289,81.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,0.11704982345221354
BTC-28APR24-58000-P,,,0.0,1.5,64064.58,0.0,0.0002,,72.9,0.015,0.0001,0.0001,0.00011398,BTC-28APR24-58000-P,0.0,64064.58,open,1714275638369,,67.8,6.2,0.0,0.0001,0.0002,0.0,202.46,SYN.BTC-28APR24,64071.987,67.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0,0.09965808074034431
BTC-28APR24-59000-P,,,0.0,0.6,64063.26,0.0,0.0001,,23.7,0.015,0.0001,0.0002,0.00021586,BTC-28APR24-59000-P,0.0,64063.26,open,1714275639374,,220.66,17.8,-33.3333,0.0001,0.0003,0.0,156.73,SYN.BTC-28APR24,64066.2969,66.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0825636473810442
BTC-28APR24-60000-P,,,0.0,6.0,64061.41,0.0,0.0002,,48.3,0.015,0.0001,0.0002,0.00042573,BTC-28APR24-60000-P,0.0,64061.41,open,1714275641387,,191.4,13.2,-50.0,0.0001,0.0004,0.0,141.1,SYN.BTC-28APR24,64064.9033,65.57,0.0,0.0,-0.00062,0.00022,0.0,0.0,0.0,60000.0,0.06575652906466302
BTC-28APR24-60500-P,,,0.0,1.0,64061.79,0.0,0.0001,,30.2,0.015,0.0001,0.0003,0.00066361,BTC-28APR24-60500-P,0.0,64061.79,open,1714275643402,,359.9,14.3,-25.0,0.0002,0.0006,0.0,113.87,SYN.BTC-28APR24,64062.8085,62.95,0.0,-1e-05,-0.00407,0.00126,0.0,-2e-05,0.0,60500.0,0.057457726249967866
BTC-28APR24-61000-P,,,0.0,0.8,64061.35,0.0,0.0001,,51.7,0.015,0.0001,0.0001,0.0009983,BTC-28APR24-61000-P,0.0,64061.35,open,1714275644411,,459.58,14.1,-88.8889,0.0001,0.001,0.0,99.51,SYN.BTC-28APR24,64063.498,59.27,0.0,-3e-05,-0.01925,0.00538,0.0,-0.0001,0.0,61000.0,0.04922722711345241
BTC-28APR24-61500-P,,,0.0,0.7,64062.91,0.0,0.0001,,29.3,0.017,0.0001,0.0001,0.00155595,BTC-28APR24-61500-P,0.0,64062.91,open,1714275646424,,1662.77,24.7,-90.0,0.0001,0.0018,0.0,85.01,SYN.BTC-28APR24,64063.7161,59.27,0.0,-0.0003,-0.21754,0.04496,0.0,-0.00093,0.0,61500.0,0.041063916474291355
BTC-28APR24-62000-P,,,0.0,0.1,64060.7,0.0,0.0001,,472.4,0.0215,0.0001,0.0004,0.00261106,BTC-28APR24-62000-P,0.0,64060.7,open,1714275647431,,46667.08,324.7,-80.0,0.0002,0.0031,0.0,70.32,SYN.BTC-28APR24,64063.6993,59.27,0.0,-0.002,-1.72179,0.25232,2e-05,-0.0063,0.0,62000.0,0.03296670624167212
